category,name,path,sha,download_url
all,all.json,tv/raw/categories/all.json,55dffe8e2ec45752d3fd784b1a0dd32564b2df67,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/all.json
animation,animation.json,tv/raw/categories/animation.json,0f0c797a65d2ed7a085d4196d92e600a0ec73657,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/animation.json
auto,auto.json,tv/raw/categories/auto.json,1514d4d174837023d94759399a992bd576000ed0,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/auto.json
business,business.json,tv/raw/categories/business.json,32b15f84e388d3a449902c1d98f9760aa1bb33cf,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/business.json
classic,classic.json,tv/raw/categories/classic.json,35bb9e0a9b2e9b65fe87386a81f48e9fba7645f7,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/classic.json
comedy,comedy.json,tv/raw/categories/comedy.json,704cd24ec3d2cbd144275b91b8dc933cd720be34,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/comedy.json
cooking,cooking.json,tv/raw/categories/cooking.json,9133d89bbef55bae9e07848e9a3c164b1527f84b,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/cooking.json
culture,culture.json,tv/raw/categories/culture.json,e71032f7300d76120b0406f75e78daa876db076c,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/culture.json
documentary,documentary.json,tv/raw/categories/documentary.json,6113ede26351152443a4536864240a6712d844aa,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/documentary.json
education,education.json,tv/raw/categories/education.json,d791c3d6885f657ff64b6783ba8464dc16e5cfba,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/education.json
entertainment,entertainment.json,tv/raw/categories/entertainment.json,6364cc3feff3b77d0b31e21b8b720cc758948788,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/entertainment.json
family,family.json,tv/raw/categories/family.json,71bd744262fa90a965d775d9688960a380cc7225,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/family.json
general,general.json,tv/raw/categories/general.json,18a776b503fafebe6c44620820e3ee4c3287676f,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/general.json
kids,kids.json,tv/raw/categories/kids.json,8ef61bbb0a685aa9d294b92217ec3e5a65649315,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/kids.json
legislative,legislative.json,tv/raw/categories/legislative.json,312dbcaa0ca4e284f35f084bebb45d4c14fb7827,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/legislative.json
lifestyle,lifestyle.json,tv/raw/categories/lifestyle.json,4b0584353028bd1612ede7c08ee6bfdabe2f91fb,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/lifestyle.json
movies,movies.json,tv/raw/categories/movies.json,d4b03483de29c4b7e1a31c5e4f464952a90084cc,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/movies.json
music,music.json,tv/raw/categories/music.json,7f3932cadaa5ee14b376ea1c6fe537d3018d71e1,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/music.json
news,news.json,tv/raw/categories/news.json,ed9d7433e77b15fc9104bc70e29cee1f69ebd65a,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/news.json
outdoor,outdoor.json,tv/raw/categories/outdoor.json,c49ae6c5bc6b923de150b4bd6fe651047f25e8f3,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/outdoor.json
public,public.json,tv/raw/categories/public.json,89961b60cc982a5b2916a866a62e473b941dbe6a,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/public.json
relax,relax.json,tv/raw/categories/relax.json,5ebf57c07972cf1e34e1f794d8967f343483dd4d,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/relax.json
religious,religious.json,tv/raw/categories/religious.json,c54d662fa6dbd7657efb0ea631b7ee5e459cc4f5,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/religious.json
science,science.json,tv/raw/categories/science.json,12151fd3f3c7cfac4ff13c2d55b16226d982c1b4,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/science.json
series,series.json,tv/raw/categories/series.json,26adf9f4232fa51e269ce9406daff9fe29fcb2b9,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/series.json
shop,shop.json,tv/raw/categories/shop.json,ee9ebbd9c98e98d67bab31bc800ca9407869d36f,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/shop.json
show,show.json,tv/raw/categories/show.json,e62bfba11f1db26c541a83e452d96a35675ccc22,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/show.json
sports,sports.json,tv/raw/categories/sports.json,249e70797fc4ffb0f8075421cff327de7d0bdde2,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/sports.json
top-news,top-news.json,tv/raw/categories/top-news.json,088d243c0221174e8b23ef9798d0231d702160f1,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/top-news.json
travel,travel.json,tv/raw/categories/travel.json,d8dc8672e932ec31352524cbd3c53f61b76dfee7,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/travel.json
weather,weather.json,tv/raw/categories/weather.json,4a09f9c94e054c8db81f0ade56179f1124ea535e,https://raw.githubusercontent.com/famelack/famelack-data/main/tv/raw/categories/weather.json
